section_type,valid,d,b,t_f,t_w,r,n_r,A,ksx,ksy,Ixx,Iyy,Ixy,elastic_modulus,poissons_ratio,yield_strength,n,mxx,myy,vx,vy,mzz,utilization,failure
i_section,True,161.84952628910224,172.6064599027203,23.08934068183595,19.54387616272801,16.24451723284999,8,10464.855685027982,0.6980537406911591,0.2732837485563135,41929204.48440644,19905960.774720345,3.844444433100214e-07,264179.9140743428,0.2098585144835514,565.3474187277368,2188285.338055023,131102100.81569472,8612631.267591758,-489332.27122589835,659906.8808155371,-386151.3908792522,1.1438289693223587,1
i_section,True,244.360669978715,164.0882785123353,16.495781158880767,11.024198272893145,17.834077839492963,8,8025.088488036604,0.6180983347056236,0.3244740627499639,81978496.77598464,12199314.10723601,4.481196575701895e-08,261509.3937976706,0.2120955563744061,554.841438440315,-2190774.305294967,26521105.583868984,-9769468.435164671,563332.6664868615,200251.3606621917,5255028.024922663,1.1733622806680999,1
i_section,True,181.84300578581585,266.2776448156282,17.581144195176005,16.119009980228256,19.049009581119385,8,12048.30825771213,0.698855709485896,0.2116820371853824,69170882.13090566,55427145.50922258,-2.4444823018936277e-07,287637.59077139624,0.1716567527911594,495.6118064915719,-1683484.7810623588,214919909.24268875,25891708.568244234,-417479.5933492114,-428851.1416055461,-3533020.3824098557,1.0202610537746994,1
i_section,True,327.7747067369354,271.70314798902973,9.870708314145071,22.11822482381906,10.579995375629816,8,12275.985429139137,0.404625619271844,0.5077499335043996,191712573.79377747,33293636.368535772,1.2803584370668484e-06,256275.8915789988,0.2558110831769153,522.3846489912032,-1464843.1478104272,33641378.11916304,47078348.725674525,-163267.88113017788,-1487387.2264525108,-329859.48151680495,0.8674516957691012,0
i_section,True,122.98743783958813,123.87754578172922,18.448300276709944,22.180972019719157,11.01368148091258,8,6587.554770945002,0.6682586800418914,0.3571481328242758,13973445.795007529,5943597.602147797,5.8594680516028803e-08,283328.83384283626,0.2611476230194976,634.8331066164654,1358525.110753114,-77787390.89786156,4744790.088934995,-262382.8424537599,163440.29872708186,2341846.1484018476,0.9420066621483523,0
i_section,True,283.794197552262,214.35343199299763,22.765822571389354,15.617036995075944,8.066954785050964,8,13538.392471219568,0.6217254426216859,0.2989371858601606,185065768.93560508,37451148.97678688,3.1331448637936414e-08,249350.10475514855,0.1608920324557921,435.24724629024786,-1940804.6074689962,-212858308.87326536,-4402682.582073583,579778.6056407582,-389490.9178863728,-3584927.480042735,0.9488721569678836,0
i_section,True,210.10047346755303,205.90383998479817,19.06265056716079,17.55401204129334,12.42112378616936,8,11005.496552897475,0.6356023656328726,0.2972445684862831,80246468.11033607,27831508.821952984,1.4713439239882613e-08,265488.5738347036,0.196024484697324,456.0592943551528,-783613.9777399461,-220883983.27869383,1078343.50905791,-384724.38930045284,-65385.681891778826,-1731111.0123969102,0.8390162201840905,0
i_section,True,165.55598650830746,268.47221750250065,23.72117471117268,14.96036070741619,7.078339420285545,8,14548.3017410123,0.7452633352361705,0.1418701729947265,66855581.471526206,76540500.60371213,-6.996759382914041e-08,223317.6695793765,0.2710668840448631,484.3470872226132,-902435.6723912782,144730124.43792537,1097525.0635249154,76954.29054959606,449438.88820285193,1915736.7745321838,1.033480569583197,1
i_section,True,303.4414729977691,114.88111157414,8.47641445691216,17.89055726082548,15.960838143411175,8,7298.378954536214,0.3175367357833625,0.6875443526813168,81824541.42553872,2316450.569377538,-1.3008780731653484e-07,300277.94922356994,0.3164122933098208,679.3241875483209,-807901.4397865945,-95581263.93928489,11390729.79760876,68798.55733680478,-337068.47431789164,-1212172.0596145778,0.8397142805472346,0
i_section,True,208.99008040451153,169.1860719042811,15.013845109095202,14.807691377218989,18.153760021697693,8,8021.849930338982,0.5988159812350107,0.3601913371165458,57084285.493101455,12208915.402208952,-2.46749404297137e-07,300785.93385629967,0.256635347212542,657.8603019856837,2308541.716666589,-30907775.284610346,-44902696.94755121,-289479.59496006166,-541292.2495704746,66790.79988249534,0.9963842302485995,0
